Breed,Age (Months),Weight (lb),Gender ,Energy Level,Health Concerns,Weight Goal max (lb),Recommended Exercise Duration (minutes)
Rottweiler,1,14,Male,Medium,None,6,30 minutes
Rottweiler,2,36.5,Male,Medium,None,14,30 minutes
Rottweiler,3,47.5,Male,Medium,None,36.5,30 minutes
Rottweiler,4,57.5,Male,High,None,47.5,45 minutes
Rottweiler,5,67.5,Male,High,None,57.5,45 minutes
Rottweiler,6,76,Male,High,None,67.5,45 minutes
Rottweiler,7,80,Male,High,None,76,60 minutes
Rottweiler,8,97.5,Male,High,None,80,60 minutes
Rottweiler,9,102.5,Male,High,None,97.5,60 minutes
Rottweiler,10,105,Male,High,None,102.5,60 minutes
Rottweiler,11,110,Male,High,None,105,60 minutes
Rottweiler,12,115,Male,High,None,110,60 minutes
Rottweiler,18,115,Male,High,None,115,60 minutes
Rottweiler,24,130,Male,High,None,115,60 minutes
Rottweiler,30,130,Male,High,None,130,90 minutes
Rottweiler,36,130,Male,High,None,130,90 minutes
Rottweiler,42,130,Male,High,None,130,90 minutes
Rottweiler,48,130,Male,High,None,130,90 minutes
Rottweiler,54,130,Male,High,None,130,90 minutes
Rottweiler,60,130,Male,High,None,130,90 minutes
Rottweiler,66,130,Male,High,None,130,90 minutes
Rottweiler,72,130,Male,High,None,130,90 minutes
Rottweiler,78,130,Male,High,None,130,90 minutes
Rottweiler,84,130,Male,High,None,130,90 minutes
Rottweiler,90,130,Male,High,None,130,45 minutes
Rottweiler,96,130,Male,High,None,130,45 minutes
Rottweiler,102,130,Male,Medium,None,130,30 minutes
Rottweiler,108,130,Male,Medium,None,130,30 minutes
Rottweiler,114,130,Male,Medium,None,130,30 minutes
Rottweiler,120,130,Male,Medium,None,130,30 minutes
Rottweiler,1,12,Female,Medium,None,4.5,30 minutes
Rottweiler,2,32.5,Female,Medium,None,12,30 minutes
Rottweiler,3,38.5,Female,Medium,None,32.5,30 minutes
Rottweiler,4,50,Female,High,None,38.5,45 minutes
Rottweiler,5,61.5,Female,High,None,50,45 minutes
Rottweiler,6,67.5,Female,High,None,61.5,45 minutes
Rottweiler,7,72.5,Female,High,None,67.5,60 minutes
Rottweiler,8,75,Female,High,None,72.5,60 minutes
Rottweiler,9,80,Female,High,None,75,60 minutes
Rottweiler,10,82.5,Female,High,None,80,60 minutes
Rottweiler,11,87.5,Female,High,None,82.5,60 minutes
Rottweiler,12,90,Female,High,None,87.5,60 minutes
Rottweiler,18,90,Female,High,None,90,60 minutes
Rottweiler,24,105,Female,High,None,90,60 minutes
Rottweiler,30,105,Female,High,None,105,90 minutes
Rottweiler,36,105,Female,High,None,105,90 minutes
Rottweiler,42,105,Female,High,None,105,90 minutes
Rottweiler,48,105,Female,High,None,105,90 minutes
Rottweiler,54,105,Female,High,None,105,90 minutes
Rottweiler,60,105,Female,High,None,105,90 minutes
Rottweiler,66,105,Female,High,None,105,90 minutes
Rottweiler,72,105,Female,High,None,105,90 minutes
Rottweiler,78,105,Female,High,None,105,90 minutes
Rottweiler,84,105,Female,High,None,105,90 minutes
Rottweiler,90,105,Female,High,None,105,45 minutes
Rottweiler,96,105,Female,High,None,105,45 minutes
Rottweiler,102,105,Female,Medium,None,105,30 minutes
Rottweiler,108,105,Female,Medium,None,105,30 minutes
Rottweiler,114,105,Female,Medium,None,105,30 minutes
Rottweiler,120,105,Female,Medium,None,105,30 minutes
Doberman,1,20,Male,Medium,None,7.5,30 minutes
Doberman,2,30,Male,Medium,None,20,30 minutes
Doberman,3,42.5,Male,Medium,None,30,30 minutes
Doberman,4,50,Male,Medium,None,42.5,45 minutes
Doberman,5,57.5,Male,High,None,50,45 minutes
Doberman,6,62.5,Male,High,None,57.5,45 minutes
Doberman,7,67.5,Male,High,None,62.5,60 minutes
Doberman,8,72.5,Male,High,None,67.5,60 minutes
Doberman,9,77.5,Male,High,None,72.5,60 minutes
Doberman,10,80,Male,High,None,77.5,60 minutes
Doberman,11,85,Male,High,None,80,60 minutes
Doberman,12,87.5,Male,High,None,85,60 minutes
Doberman,18,88,Male,High,None,87.5,60 minutes
Doberman,24,89,Male,High,None,88,60 minutes
Doberman,30,89,Male,High,None,89,90 minutes
Doberman,36,89,Male,High,None,89,90 minutes
Doberman,42,89,Male,High,None,89,90 minutes
Doberman,48,89,Male,High,None,89,90 minutes
Doberman,54,89,Male,High,None,89,90 minutes
Doberman,60,89,Male,High,None,89,90 minutes
Doberman,66,89,Male,High,None,89,90 minutes
Doberman,72,89,Male,High,None,89,90 minutes
Doberman,78,89,Male,High,None,89,90 minutes
Doberman,84,89,Male,High,None,89,90 minutes
Doberman,90,89,Male,Medium,None,89,45 minutes
Doberman,96,89,Male,Medium,None,89,45 minutes
Doberman,102,89,Male,Medium,None,89,30 minutes
Doberman,108,89,Male,Medium,None,89,30 minutes
Doberman,114,89,Male,Medium,None,89,30 minutes
Doberman,120,89,Male,Medium,None,89,30 minutes
Doberman,1,15,Female,Medium,None,7.5,30 minutes
Doberman,2,25,Female,Medium,None,15,30 minutes
Doberman,3,40,Female,Medium,None,25,30 minutes
Doberman,4,45,Female,Medium,None,40,45 minutes
Doberman,5,50,Female,High,None,45,45 minutes
Doberman,6,55,Female,High,None,50,45 minutes
Doberman,7,60,Female,High,None,55,60 minutes
Doberman,8,65,Female,High,None,60,60 minutes
Doberman,9,67.5,Female,High,None,65,60 minutes
Doberman,10,70,Female,High,None,67.5,60 minutes
Doberman,11,72.5,Female,High,None,70,60 minutes
Doberman,12,75,Female,High,None,72.5,60 minutes
Doberman,18,75,Female,High,None,75,60 minutes
Doberman,24,80,Female,High,None,75,60 minutes
Doberman,30,80,Female,High,None,80,90 minutes
Doberman,36,80,Female,High,None,80,90 minutes
Doberman,42,80,Female,High,None,80,90 minutes
Doberman,48,80,Female,High,None,80,90 minutes
Doberman,54,80,Female,High,None,80,90 minutes
Doberman,60,80,Female,High,None,80,90 minutes
Doberman,66,80,Female,High,None,80,90 minutes
Doberman,72,80,Female,High,None,80,90 minutes
Doberman,78,80,Female,High,None,80,90 minutes
Doberman,84,80,Female,High,None,80,90 minutes
Doberman,90,80,Female,High,None,80,45 minutes
Doberman,96,80,Female,Medium,None,80,45 minutes
Doberman,102,80,Female,Medium,None,80,30 minutes
Doberman,108,80,Female,Medium,None,80,30 minutes
Doberman,114,80,Female,Medium,None,80,30 minutes
Doberman,120,80,Female,Medium,None,80,30 minutes
Pitbull Terrier,1,10,Male,Medium,None,4,30 minutes
Pitbull Terrier,2,15,Male,Medium,None,10,30 minutes
Pitbull Terrier,3,20,Male,Medium,None,15,30 minutes
Pitbull Terrier,4,22.5,Male,Medium,None,20,45 minutes
Pitbull Terrier,5,27.5,Male,High,None,22.5,45 minutes
Pitbull Terrier,6,30,Male,High,None,27.5,45 minutes
Pitbull Terrier,7,35,Male,High,None,30,60 minutes
Pitbull Terrier,8,37.5,Male,High,None,35,60 minutes
Pitbull Terrier,9,37.5,Male,High,None,37.5,60 minutes
Pitbull Terrier,10,42.5,Male,High,None,37.5,60 minutes
Pitbull Terrier,11,42.5,Male,High,None,42.5,60 minutes
Pitbull Terrier,12,47.5,Male,High,None,42.5,60 minutes
Pitbull Terrier,18,47.5,Male,High,None,47.5,60 minutes
Pitbull Terrier,24,50,Male,High,None,47.5,60 minutes
Pitbull Terrier,30,60,Male,High,None,50,90 minutes
Pitbull Terrier,36,60,Male,High,None,60,90 minutes
Pitbull Terrier,42,60,Male,High,None,60,90 minutes
Pitbull Terrier,48,60,Male,High,None,60,90 minutes
Pitbull Terrier,54,60,Male,High,None,60,90 minutes
Pitbull Terrier,60,60,Male,High,None,60,90 minutes
Pitbull Terrier,66,60,Male,High,None,60,90 minutes
Pitbull Terrier,72,60,Male,High,None,60,90 minutes
Pitbull Terrier,78,60,Male,High,None,60,90 minutes
Pitbull Terrier,84,60,Male,High,None,60,90 minutes
Pitbull Terrier,90,60,Male,High,None,60,45 minutes
Pitbull Terrier,96,60,Male,High,None,60,45 minutes
Pitbull Terrier,102,60,Male,Medium,None,60,30 minutes
Pitbull Terrier,108,60,Male,Medium,None,60,30 minutes
Pitbull Terrier,114,60,Male,Medium,None,60,30 minutes
Pitbull Terrier,120,86,Male,Medium,None,60,30 minutes
Pitbull Terrier,1,10,Female,Medium,None,3,30 minutes
Pitbull Terrier,2,15,Female,Medium,None,10,30 minutes
Pitbull Terrier,3,15,Female,Medium,None,15,30 minutes
Pitbull Terrier,4,20,Female,Medium,None,15,45 minutes
Pitbull Terrier,5,22.5,Female,High,None,20,45 minutes
Pitbull Terrier,6,27.5,Female,High,None,22.5,45 minutes
Pitbull Terrier,7,27.5,Female,High,None,27.5,60 minutes
Pitbull Terrier,8,30,Female,High,None,27.5,60 minutes
Pitbull Terrier,9,32.5,Female,High,None,30,60 minutes
Pitbull Terrier,10,40,Female,High,None,32.5,60 minutes
Pitbull Terrier,11,40,Female,High,None,40,60 minutes
Pitbull Terrier,12,40,Female,High,None,40,60 minutes
Pitbull Terrier,18,40,Female,High,None,40,60 minutes
Pitbull Terrier,24,50,Female,High,None,40,60 minutes
Pitbull Terrier,30,50,Female,High,None,50,90 minutes
Pitbull Terrier,36,50,Female,High,None,50,90 minutes
Pitbull Terrier,42,50,Female,High,None,50,90 minutes
Pitbull Terrier,48,50,Female,High,None,50,90 minutes
Pitbull Terrier,54,50,Female,High,None,50,90 minutes
Pitbull Terrier,60,50,Female,High,None,50,90 minutes
Pitbull Terrier,66,50,Female,High,None,50,90 minutes
Pitbull Terrier,72,50,Female,High,None,50,90 minutes
Pitbull Terrier,78,50,Female,High,None,50,90 minutes
Pitbull Terrier,84,50,Female,High,None,50,90 minutes
Pitbull Terrier,90,50,Female,High,None,50,45 minutes
Pitbull Terrier,96,50,Female,Medium,None,50,45 minutes
Pitbull Terrier,102,50,Female,Medium,None,50,30 minutes
Pitbull Terrier,108,50,Female,Medium,None,50,30 minutes
Pitbull Terrier,114,50,Female,Medium,None,50,30 minutes
Pitbull Terrier,120,56,Female,Medium,None,50,30 minutes
